siteName,siteLatitude,siteLongitude,siteAltitude,siteID,depth,thickness,age,ageOld,ageYoung,ageType,chronologyID,taxonPercent,taxonSum,pollenSum,countedInLevel,totalInLevel,datasetID,datasetType,collectionUnitType,collectionUnitHandle,collectionUnitID
Tulare Lake,36.052,-119.78,55.0,10410,540.0,,17303.0,19985.0,14535.0,Calibrated radiocarbon years BP,8429,7.91788856305,27.0,341.0,23,33,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,550.0,,17873.0,20327.0,15305.0,Calibrated radiocarbon years BP,8429,2.24719101124,8.0,356.0,20,29,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,560.0,,18440.0,20958.0,15698.0,Calibrated radiocarbon years BP,8429,1.33333333333,5.0,375.0,22,28,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,570.0,,19038.0,21201.0,16503.0,Calibrated radiocarbon years BP,8429,2.29885057471,12.0,522.0,20,29,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,580.0,,19638.0,21681.0,17048.0,Calibrated radiocarbon years BP,8429,5.25,21.0,400.0,24,34,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,590.0,,20229.0,21906.0,17899.0,Calibrated radiocarbon years BP,8429,3.08483290488,12.0,389.0,20,29,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,600.0,,20826.0,22336.0,18374.0,Calibrated radiocarbon years BP,8429,3.58744394619,16.0,446.0,23,30,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,601.0,,20883.0,22350.0,18547.0,Calibrated radiocarbon years BP,8429,1.42180094787,6.0,422.0,20,29,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,604.0,,21055.0,22390.0,19030.0,Calibrated radiocarbon years BP,8429,1.35501355014,5.0,369.0,21,32,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,606.0,,21171.0,22414.0,19349.0,Calibrated radiocarbon years BP,8429,2.77078085642,11.0,397.0,18,25,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,609.0,,21344.0,22454.0,19807.0,Calibrated radiocarbon years BP,8429,1.2987012987,5.0,385.0,21,30,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,614.0,,21637.0,22560.0,20448.0,Calibrated radiocarbon years BP,8429,1.05540897098,4.0,379.0,17,26,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,617.0,,21816.0,22669.0,20677.0,Calibrated radiocarbon years BP,8429,1.86046511628,8.0,430.0,25,34,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,620.0,,21995.0,22824.0,20841.0,Calibrated radiocarbon years BP,8429,3.89294403893,16.0,411.0,25,35,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,625.0,,22277.0,22990.0,21313.0,Calibrated radiocarbon years BP,8429,3.73134328358,15.0,402.0,20,28,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,630.0,,22562.0,23280.0,21655.0,Calibrated radiocarbon years BP,8429,3.02197802198,11.0,364.0,23,33,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,635.0,,22848.0,23760.0,21880.0,Calibrated radiocarbon years BP,8429,7.58426966292,27.0,356.0,17,24,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,640.0,,23130.0,24368.0,22003.0,Calibrated radiocarbon years BP,8429,3.66492146597,14.0,382.0,20,31,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,645.0,,23359.0,24459.0,22345.0,Calibrated radiocarbon years BP,8429,5.03978779841,19.0,377.0,23,32,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,650.0,,23590.0,24598.0,22602.0,Calibrated radiocarbon years BP,8429,2.22841225627,8.0,359.0,19,29,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,660.0,,24051.0,25137.0,22897.0,Calibrated radiocarbon years BP,8429,1.93905817175,7.0,361.0,21,31,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,670.0,,24534.0,25418.0,23607.0,Calibrated radiocarbon years BP,8429,3.26633165829,13.0,398.0,20,31,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,680.0,,25019.0,26224.0,23862.0,Calibrated radiocarbon years BP,8429,2.33766233766,9.0,385.0,26,36,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,690.0,,25457.0,26586.0,24269.0,Calibrated radiocarbon years BP,8429,2.08877284595,8.0,383.0,28,37,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,700.0,,25891.0,27257.0,24451.0,Calibrated radiocarbon years BP,8429,1.67064439141,7.0,419.0,26,33,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,710.0,,26333.0,27486.0,24978.0,Calibrated radiocarbon years BP,8429,0.305810397554,1.0,327.0,18,24,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,720.0,,26774.0,27918.0,25285.0,Calibrated radiocarbon years BP,8429,4.8128342246,18.0,374.0,23,34,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,730.0,,27220.0,28039.0,26141.0,Calibrated radiocarbon years BP,8429,1.69491525424,6.0,354.0,19,25,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,740.0,,27671.0,28342.0,26579.0,Calibrated radiocarbon years BP,8429,2.0942408377,8.0,382.0,24,34,15876,pollen,Core,TULARECA,11785
Tulare Lake,36.052,-119.78,55.0,10410,750.0,,27893.0,28449.0,27082.0,Calibrated radiocarbon years BP,8429,1.12676056338,4.0,355.0,24,33,15876,pollen,Core,TULARECA,11785
