siteName,taxonPercent,siteLatitude,siteLongitude,siteAltitude,siteID,depth,thickness,age,ageOld,ageYoung,ageType,age (Calander Years BP),chronologyID,taxonSum,pollenSum,countedInLevel,totalInLevel,datasetID,datasetType,collectionUnitType,precip1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,tmin1,tmax1,tmean1,tmax2,tmin2,tmean2,tmax3,tmin3,tmean3,tmin4,tmax4,tmean4,tmin5,tmax5,tmean5,tmin6,tmax6,tmean6,tmin7,tmax7,tmean7,tmin8,tmax8,tmean8,tmin9,tmax9,tmean9,tmin10,tmax10,tmean10,tmin11,tmax11,tmean11,tmin12,tmax12,tmean12
Tunturi Lake,54.5751634,55.016667,-67.5,610,2576,20,,1293,,,Radiocarbon years BP,,1281,167,306,14,18,2669,pollen,Core,52.79999924,38.5,39.29999924,35.60000229,40.10000229,68.40000153,106.3000031,100.9000015,92.59999847,71.5,68.20000458,59.29999924,-28.55999947,-18.31999969,-23.43999958,-16.84000015,-28.38999939,-22.61499977,-10.75,-23.09000015,-16.92000008,-14.5,-3.519999981,-9.00999999,-4.900000095,3.839999914,-0.530000091,1.74000001,11.98999977,6.86499989,6.589999676,16.22999954,11.40999961,5.909999847,14.7699995,10.33999968,1.469999909,8.920000076,5.194999993,-4.069999695,1.949999928,-1.059999883,-12.60999966,-5.259999752,-8.934999704,-23.13999939,-14.04999924,-18.59499931
Ennadai Lake,45.15151515,61.166667,-100.916667,168,783,25,,1273,,,Radiocarbon years BP,,365,447,990,6,6,803,pollen,Section,11.10000038,6.200000286,13.40000057,18,19.30000114,34.10000229,56.70000076,44.5,42.10000229,31.10000038,16,12.80000019,-37.04999924,-28.56999969,-32.80999947,-26.68999863,-35.88000107,-31.28499985,-20.23999977,-30.76999855,-25.50499916,-19.3599987,-8.309999466,-13.83499908,-7.759999752,1.25,-3.254999876,1.50999999,11.65999985,6.584999919,7.899999619,17.5,12.69999981,6.789999962,15.0899992,10.93999958,0.789999962,7.069999695,3.929999828,-8.170000076,-2.169999838,-5.169999957,-22.14999962,-14.34999943,-18.24999952,-31.25,-23.18999863,-27.21999931
Crates Lake,46.42857143,49.183333,-81.266667,259,506,90,,1268,,,Radiocarbon years BP,,259,169,364,21,25,519,pollen,Core,55.10000229,38.90000153,45.90000153,44.60000229,68.20000458,80.5,93.40000153,83.5,96.09999847,74.80000305,68.40000153,60.70000076,-24.68000031,-10.59999943,-17.63999987,-8.670000076,-24.04999924,-16.35999966,-2.960000038,-17.87999916,-10.4199996,-7.679999828,5.230000019,-1.224999905,0.280000001,13.90999985,7.094999924,6.389999866,20.69999886,13.54499936,10.07999992,23.76999855,16.92499924,8.970000267,22.05999947,15.51499987,4.869999886,15.77999973,10.32499981,-0.48999998,8.380000114,3.945000067,-8.170000076,-0.079999998,-4.125000037,-19.15999985,-7.599999905,-13.37999988
Harrie Lake,67.98561151,52.933333,-66.95,530,977,650,,1266,,,Radiocarbon years BP,,494,378,556,21,34,1008,pollen,Core,63.79999924,39.79999924,41.5,37.90000153,46.79999924,83,123.0999985,101.0999985,102.5999985,79,75.5,73.40000153,-28.96999931,-16.15999985,-22.56499958,-13.94999981,-28.38999939,-21.1699996,-7.869999886,-21.71999931,-14.7949996,-11.96000004,-0.349999994,-6.155000016,-3.329999924,7.309999943,1.99000001,3.389999866,14.72999954,9.059999704,8.109999657,18.47999954,13.2949996,7.269999981,17.12999916,12.19999957,2.899999857,10.85999966,6.879999757,-3.599999905,3.149999857,-0.225000024,-12.38999939,-4.360000134,-8.374999762,-24.02999878,-12.85999966,-18.44499922
Lake EC2,43.84093113,56.023333,-74.945,300,1551,15,,1266,,,Radiocarbon years BP,,672,226,515.5,18,26,1592,pollen,Core,27.89999962,22.30000114,27.10000038,26,36.10000229,54.79999924,79.20000458,84.80000305,81,62.10000229,54.60000229,38.90000153,-29.71999931,-19.81999969,-24.7699995,-19.52000046,-30.63999939,-25.07999992,-13.48999977,-25.38999939,-19.43999958,-15.25,-4.989999771,-10.11999989,-5.210000038,2.899999857,-1.155000091,0.429999977,9.969999313,5.199999645,5.179999828,14.67999935,9.92999959,5.799999714,13.59999943,9.699999571,2.879999876,8.880000114,5.879999995,-1.879999995,2.789999962,0.454999983,-10.38000011,-4.230000019,-7.305000067,-22.37999916,-13.82999992,-18.10499954
Sulphur Lake,53.94352483,60.95,-137.957778,847,2522,85,,1254,,,Radiocarbon years BP,,1217,277,513.5,16,24,2611,pollen,Core,27.60000038,23.39999962,18.80000114,15.40000057,22.20000076,36.70000076,49.20000076,37.90000153,32.29999924,31.80000114,31.60000038,30.70000076,-29.77999878,-16.52000046,-23.14999962,-11.40999985,-25.96999931,-18.68999958,-5.909999847,-20.95999908,-13.43499947,-11.38000011,1.169999957,-5.105000079,-4.509999752,8.369999886,1.930000067,-0.229999989,14.23999977,7.004999891,2.169999838,15.97999954,9.07499969,0.379999995,14.46999931,7.424999654,-3.9599998,8.920000076,2.480000138,-9.38999939,0.799999952,-4.294999719,-20.76000023,-9.340000153,-15.05000019,-28.07999992,-15.55999947,-21.81999969
Lake GB2,65.20423601,56.1,-75.283333,300,1554,20,,1249,,,Radiocarbon years BP,,678,431,661,20,29,1595,pollen,Core,27.89999962,20.60000038,24.39999962,24.60000038,36.29999924,60.29999924,90.40000153,97.20000458,87.40000153,64,55.40000153,39.29999924,-28.53999901,-19.03999901,-23.78999901,-18.65999985,-29.40999985,-24.03499985,-12.64999962,-24.69999886,-18.67499924,-15.0199995,-4.259999752,-9.639999628,-5.099999905,3.299999952,-0.899999976,0.5,9.840000153,5.170000076,5.069999695,14.23999977,9.654999733,5.309999943,12.86999989,9.089999914,1.779999971,8.090000153,4.935000062,-2.909999847,2.169999838,-0.370000005,-10.80999947,-4.489999771,-7.649999619,-21.80999947,-13.64999962,-17.72999954
Lake EC1,64.44043321,56.283333,-75.1,250,1550,8,,1245,,,Radiocarbon years BP,,671,357,554,19,30,1591,pollen,Core,27.89999962,20.60000038,24.39999962,24.60000038,36.29999924,60.29999924,90.40000153,97.20000458,87.40000153,64,55.40000153,39.29999924,-28.53999901,-19.03999901,-23.78999901,-18.65999985,-29.40999985,-24.03499985,-12.64999962,-24.69999886,-18.67499924,-15.0199995,-4.259999752,-9.639999628,-5.099999905,3.299999952,-0.899999976,0.5,9.840000153,5.170000076,5.069999695,14.23999977,9.654999733,5.309999943,12.86999989,9.089999914,1.779999971,8.090000153,4.935000062,-2.909999847,2.169999838,-0.370000005,-10.80999947,-4.489999771,-7.649999619,-21.80999947,-13.64999962,-17.72999954
Chism 1,50.69532238,54.799444,-76.145556,340,361,30,1,1242,,,Radiocarbon years BP,,211,401,791,28,40,371,pollen,Core,30.70000076,21.89999962,28.5,30,43.20000076,65.70000458,82.59999847,91,98.59999847,75,64,40,-28.12999916,-18.73999977,-23.43499947,-17.69000053,-28.64999962,-23.17000008,-11.15999985,-23.51999855,-17.3399992,-13.10999966,-2.25999999,-7.684999824,-3.609999895,6.210000038,1.300000072,2.00999999,13.0199995,7.514999747,6.309999943,17.25,11.77999997,6.46999979,15.63000011,11.04999995,2.379999876,10.01000023,6.195000052,-2.649999857,3.169999838,0.25999999,-10.28999996,-4.179999828,-7.234999895,-21.64999962,-13.61999989,-17.63499975
Lac Gras,62.75862069,52.25,-67.066667,530,946,851,,1237,,,Radiocarbon years BP,,455,182,290,22,31,976,pollen,Core,69.80000305,49,53.90000153,50.10000229,59.20000076,97.59999847,132.5,109.8000031,122.4000015,89.70000458,84.90000153,79.30000305,-26.68999863,-15.14999962,-20.91999912,-12.64999962,-25.51000023,-19.07999992,-7.019999981,-19.62999916,-13.32499957,-10.89999962,0.239999995,-5.329999812,-2.609999895,7.960000038,2.675000072,4.179999828,15.50999928,9.844999552,8.409999847,19.1099987,13.75999928,7.199999809,17.61999893,12.40999937,1.909999967,10.80000019,6.355000079,-4.440000057,3.019999981,-0.710000038,-12.34000015,-4.360000134,-8.350000143,-22.45999908,-12.14999962,-17.30499935
