siteName,siteLatitude,siteLongitude,siteAltitude,siteID,depth,thickness,age,ageOld,ageYoung,ageType,chronologyID,taxonPercent,taxonSum,pollenSum,countedInLevel,totalInLevel,datasetID,datasetType,collectionUnitType,collectionUnitHandle,collectionUnitID,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,tmin1,tmin2,tmin3,tmin4,tmin5,tmin6,tmin7,tmin8,tmin9,tmin10,tmin11,tmin12,tmax1,tmax2,tmax3,tmax4,tmax5,tmax6,tmax7,tmax8,tmax9,tmax10,tmax11,tmax12
Roe Island,38.0723,-122.032935,0.0,9796,5.0,1.0,-25.0,10.0,-46.0,Calibrated radiocarbon years BP,7673,1.0752688172,2.0,186.0,11,17,14494,pollen,Core,ROEISLND,11058,158.800003052,133.0,87.9000015259,39.9000015259,15.3000001907,6.7000002861,0.699999988079,2.0,7.7000002861,47.7000007629,95.2000045776,151.800003052,3.74000000954,4.85999965668,5.30999994278,6.1299996376,8.35999965668,10.9200000763,12.25,12.3400001526,11.7899999619,9.77999973297,6.71000003815,4.38999986649,12.8099994659,15.0699996948,16.9699993134,19.2799987793,22.6299991608,26.1999988556,28.3999996185,28.2399997711,27.359998703,23.6299991608,18.0100002289,13.5199995041
Roe Island,38.0723,-122.032935,0.0,9796,310.0,1.0,1972.0,2147.0,1810.0,Calibrated radiocarbon years BP,7673,0.540540540541,1.0,185.0,12,18,14494,pollen,Core,ROEISLND,11058,173.0,152.0,108.900001526,51.5,19.6000003815,8.30000019073,0.900000035763,2.40000009537,9.4000005722,58.1000022888,111.599998474,167.5,3.81999993324,4.98000001907,5.33999967575,5.90000009537,7.71000003815,9.84000015259,10.9299993515,11.0599994659,10.7899999619,9.13999938965,6.38999986649,4.30999994278,12.5199995041,14.4499998093,15.9099998474,17.8699989319,21.0799999237,24.7199993134,27.109998703,27.2199993134,26.6199989319,23.1700000763,17.7600002289,13.3599996567
Bluff Lake,41.346515,-122.55987,1926.0,10309,277.0,1.0,10996.0,11469.0,10538.0,Calibrated radiocarbon years BP,8303,0.447627573859,5.0,1117.0,23,29,15646,pollen,Core,BLUFFCA,11663,156.100006104,149.199996948,139.699996948,90.8000030518,48.5,23.3999996185,8.9000005722,12.5,29.3000011444,114.400001526,221.100006104,173.699996948,-5.13000011444,-4.17999982834,-4.25,-2.52999997139,1.67999994755,6.0499997139,9.25,7.57999992371,3.73000001907,-0.810000002384,-3.57999992371,-5.2999997139,4.83999967575,6.82999992371,7.57999992371,10.5999994278,15.9799995422,21.9499988556,27.0999984741,25.4899997711,19.9099998474,12.9600000381,6.60999965668,4.48999977112
Lilypad Lake,36.98229,-118.99407,1982.0,10363,195.0,,4168.0,5451.0,3019.0,Calibrated radiocarbon years BP,8370,0.355871886121,1.0,281.0,19,24,15766,pollen,Core,LILYPDCA,11727,114.900001526,117.099998474,109.200004578,64.4000015259,30.5,19.0,20.8999996185,15.1999998093,16.3000011444,29.7000007629,48.6000022888,106.900001526,-7.33999967575,-7.42999982834,-7.2999997139,-5.6299996376,-1.66999995708,2.07999992371,6.11999988556,5.17000007629,2.31999993324,-1.25,-5.21000003815,-7.56999969482,8.44999980927,7.96000003815,8.11999988556,10.8499994278,16.1900005341,22.2899990082,27.6599998474,27.0100002289,23.4899997711,18.2899990082,12.3999996185,9.15999984741
Lilypad Lake,36.98229,-118.99407,1982.0,10363,230.0,,5115.0,6534.0,3815.0,Calibrated radiocarbon years BP,8370,0.531914893617,1.0,188.0,18,23,15766,pollen,Core,LILYPDCA,11727,161.199996948,153.800003052,126.900001526,66.5999984741,28.8000011444,16.7000007629,18.6000003815,15.0,18.8000011444,38.6000022888,68.0,152.800003052,-7.44999980927,-7.42999982834,-7.19999980927,-5.50999975204,-1.62999999523,1.9699999094,5.88999986649,4.88999986649,2.04999995232,-1.49000000954,-5.42000007629,-7.75,8.11999988556,7.57999992371,7.78999996185,10.6799993515,16.2600002289,22.6399993896,28.1599998474,27.5100002289,23.8500003815,18.4400005341,12.3400001526,8.93999958038
Lilypad Lake,36.98229,-118.99407,1982.0,10363,310.0,,7293.0,8748.0,5855.0,Calibrated radiocarbon years BP,8370,0.404858299595,1.0,247.0,18,24,15766,pollen,Core,LILYPDCA,11727,147.0,141.5,128.300003052,77.9000015259,39.4000015259,26.3000011444,31.1000003815,24.0,26.1000003815,45.2999992371,70.0999984741,146.199996948,-8.28999996185,-7.96000003815,-7.48000001907,-5.48000001907,-1.25999999046,2.57999992371,6.36999988556,4.82999992371,1.23000001907,-2.84999990463,-6.88999986649,-8.96000003815,7.26999998093,7.13999986649,7.57999992371,10.779999733,16.7799987793,23.4899997711,28.7999992371,27.3199996948,22.5399990082,16.4200000763,10.3099994659,7.46999979019
Lilypad Lake,36.98229,-118.99407,1982.0,10363,415.0,,10144.0,11432.0,8936.0,Calibrated radiocarbon years BP,8370,1.08303249097,3.0,277.0,26,30,15766,pollen,Core,LILYPDCA,11727,116.400001526,118.200004578,116.200004578,67.0,28.5,15.5,16.8000011444,14.1000003815,18.8999996185,38.9000015259,63.0,121.0,-8.26000022888,-7.98000001907,-7.64999961853,-5.53999996185,-0.870000004768,3.54999995232,7.5499997139,5.69999980927,1.45999991894,-3.08999991417,-7.21999979019,-9.06999969482,7.39999961853,7.28999996185,7.57999992371,10.8099994659,17.109998703,24.1999988556,29.5799999237,27.7299995422,22.3299999237,15.8299999237,9.77999973297,7.31999969482
Lilypad Lake,36.98229,-118.99407,1982.0,10363,470.0,,11778.0,12967.0,10977.0,Calibrated radiocarbon years BP,8370,1.108033241,4.0,361.0,21,27,15766,pollen,Core,LILYPDCA,11727,149.100006104,130.0,111.300003052,60.5,27.1000003815,16.8999996185,21.3000011444,19.8999996185,28.3000011444,60.7000007629,98.2000045776,175.400009155,-9.38999938965,-8.9299993515,-8.26999950409,-5.90000009537,-1.11000001431,3.26999998093,7.19999980927,5.27999973297,0.969999969006,-3.73000001907,-8.09000015259,-10.1599998474,6.42999982834,6.67999982834,7.17000007629,10.5199995041,16.8799991608,23.8999996185,28.9799995422,26.6299991608,20.6899986267,13.9099998474,7.94999980927,5.90000009537
Lilypad Lake,36.98229,-118.99407,1982.0,10363,519.0,,14794.0,16085.0,12809.0,Calibrated radiocarbon years BP,8370,0.348432055749,1.0,287.0,17,25,15766,pollen,Core,LILYPDCA,11727,173.900009155,170.300003052,183.5,88.0,24.8000011444,9.0,9.0,10.6000003815,27.1000003815,97.5999984741,178.199996948,238.100006104,-10.529999733,-9.97999954224,-9.21000003815,-7.08999967575,-2.98000001907,0.579999983311,4.15999984741,2.55999994278,-0.949999988079,-4.98999977112,-9.07999992371,-11.2399997711,5.31999969482,5.17000007629,4.98999977112,7.84999990463,14.1300001144,21.4099998474,26.7299995422,24.4499988556,18.5,11.8800001144,6.31999969482,4.71000003815
Mono Lake,38.00795,-119.0255,1945.0,10369,480.0,,8540.0,8954.0,8107.0,Calibrated radiocarbon years BP,8376,0.3300330033,1.0,303.0,15,20,15778,pollen,Core,MONOLK,11733,144.900009155,118.200004578,105.099998474,55.9000015259,27.6000003815,14.1000003815,9.9000005722,13.9000005722,26.7000007629,70.5,131.100006104,151.800003052,-9.96999931335,-9.89999961853,-10.0199995041,-8.3499994278,-3.75999999046,1.4699999094,5.94000005722,4.57999992371,-0.370000004768,-4.88000011444,-8.47999954224,-10.1499996185,5.61999988556,5.44000005722,5.21000003815,7.96000003815,14.1899995804,22.2399997711,28.8999996185,27.3499984741,21.3899993896,14.9200000763,8.80999946594,6.23999977112
